"CUSTOMER_ID","F_NAME","L_NAME","CUST_ZIP","VALIDITY","GENDER","CHURN_FLAG","CUS_LONG","CUS_LAT"
"96046","Hobert","Vega","14742","(2013-08-01, 9999-12-31)","M ","Y","-79.306839","42.120123"
"78876","Antwan","Stout","61475","(2014-12-06, 9999-12-31)","M ","N","-90.753451","40.597924"
"217378","Fabian","Herring","73108","(2014-03-08, 9999-12-31)","M ","Y","-97.567737","35.450007"
"171904","Betty","Mcclain","44114","(2010-06-22, 9999-12-31)","F ","Y","-81.678083","41.520126"
"110667","Megan","Stanton","82224","(2010-03-02, 9999-12-31)","F ","Y","-104.808472","43.027155"
"62175","Mauricio","Payne","61730","(2013-06-07, 9999-12-31)","M ","N","-88.729413","40.532486"
"45943","Ricardo","Shaffer","48422","(2014-01-01, 9999-12-31)","M ","N","-82.653704","43.261472"
"14621","Norman","Weaver","68057","(2010-12-07, 9999-12-31)","M ","N","-96.723527","41.66187"
"23675","Trudy","Rios","32736","(2014-11-29, 9999-12-31)","F ","N","-81.489277","28.91665"
"79814","Betty","Hahn","52072","(2010-07-30, 9999-12-31)","F ","N","-91.377806","42.922014"
"170293","Lucinda","Pineda","90032","(2013-12-07, 9999-12-31)","F ","Y","-118.185501","34.078195"
"203695","Jasper","Frazier","98241","(2010-01-31, 9999-12-31)","M ","Y","-121.140144","48.203972"
"43863","Adele","Knox","99656","(2013-03-25, 9999-12-31)","F ","N","-157.624648","61.927869"
"248700","Derrick","Velazquez","98617","(2011-12-31, 9999-12-31)","M ","Y","-121.167493","45.643032"
"13010","Brittney","Hull","84115","(2010-01-14, 9999-12-31)","F ","N","-111.892687","40.714497"
"54997","Kory","Rich","29048","(2010-11-01, 9999-12-31)","M ","N","-80.295284","33.390561"
"16497","Tia","Rush","14519","(2012-08-14, 9999-12-31)","F ","N","-77.314631","43.233972"
"4425","Robbie","Salinas","72669","(2012-09-20, 9999-12-31)","F ","N","-92.876157","36.064963"
"233406","Luz","Hurley","25625","(2014-10-27, 9999-12-31)","F ","Y","-82.081236","37.81936"
"1100104","Jim","Hayes","97212","(2010-07-23, 9999-12-31)","M ","N","-122.643468","45.544236"
"78672","Andreas","Keith","92840","(2014-04-30, 9999-12-31)","M ","N","-117.931889","33.787165"
"19984","Christine","Sullivan","50154","(2013-09-06, 9999-12-31)","F ","N","-93.39278","42.172261"
"231795","Deanne","Reid","99835","(2015-11-29, 9999-12-31)","F ","Y","-135.076713","57.000402"
"90275","Ronda","Chase","02638","(2012-04-04, 9999-12-31)","F ","Y","-70.197398","41.730228"
"206509","Eve","Rodgers","78414","(2010-03-14, 9999-12-31)","F ","Y","-97.371357","27.662537"
"237831","Juana","Chambers","72955","(2015-07-19, 9999-12-31)","F ","Y","-94.437781","35.614175"
"111401","Chas","Forbes","14057","(2010-02-19, 9999-12-31)","M ","Y","-78.874782","42.646574"
"97249","Dixie","Montoya","51231","(2011-10-23, 9999-12-31)","F ","Y","-95.742199","43.103129"
"24409","Vicente","Pineda","31826","(2015-02-17, 9999-12-31)","M ","N","-84.703286","32.792963"
"125553","Jaime","Bullock","54614","(2010-09-10, 9999-12-31)","F ","Y","-90.952867","43.904933"
"89133","Meredith","Kirby","46171","(2010-04-01, 9999-12-31)","F ","Y","-86.960902","39.525101"
"213014","Mariano","Mcintyre","43145","(2015-03-27, 9999-12-31)","M ","Y","-83.259784","39.564942"
"92151","Oswaldo","Beck","33304","(2015-01-30, 9999-12-31)","M ","Y","-80.121184","26.140411"
"13275","Dwight","Haynes","27023","(2013-11-07, 9999-12-31)","M ","N","-80.456712","36.089784"
"19311","Fernando","Marquez","50319","(2014-01-22, 9999-12-31)","M ","N","-93.604288","41.590912"
"207447","Jude","Ali","72544","(2011-05-02, 9999-12-31)","M ","Y","-92.189682","36.403646"
"239238","Helena","Hancock","01833","(2014-04-14, 9999-12-31)","F ","Y","-70.982036","42.727879"
"117437","Renaldo","Hawkins","66031","(2012-10-30, 9999-12-31)","M ","Y","-94.890082","38.831963"
"107710","Rachael","Huber","35989","(2011-11-01, 9999-12-31)","F ","Y","-85.619853","34.613541"
"70352","Boyce","Haynes","07737","(2012-12-21, 9999-12-31)","M ","Y","-74.065304","40.412472"
"122331","Brandie","Greer","49328","(2012-01-30, 9999-12-31)","F ","Y","-85.758168","42.63368"
"118375","Debbie","Pittman","71346","(2013-02-26, 9999-12-31)","F ","Y","-92.374928","31.118246"
"249230","Leslie","Owens","01702","(2015-03-31, 9999-12-31)","M ","Y","-71.436621","42.282379"
"53651","Annette","Burns","82714","(2010-05-28, 9999-12-31)","F ","N","-104.699607","44.571551"
"97514","Maxine","Saunders","58529","(2014-10-03, 9999-12-31)","F ","Y","-101.559699","46.295012"
"31383","Bethany","Summers","15778","(2012-12-13, 9999-12-31)","F ","N","-79.195246","40.969117"
"52978","Dalton","Knight","19544","(2010-06-01, 9999-12-31)","M ","N","-76.296566","40.416876"
"203287","Ollie","Boyer","71662","(2011-10-03, 9999-12-31)","M ","Y","-91.506833","33.843455"
"25143","Helen","Wall","64750","(2015-12-15, 9999-12-31)","F ","N","-94.101696","37.940899"
"96576","Joanna","Escobar","08078","(2015-05-27, 9999-12-31)","F ","Y","-75.075502","39.853411"
"177328","Alfred","Owen","59920","(2012-10-12, 9999-12-31)","M ","Y","-114.608268","48.002764"
"46004","Cecilia","Cochran","95136","(2010-07-08, 9999-12-31)","F ","N","-121.850992","37.269128"
"20045","Antione","Pham","55007","(2010-12-27, 9999-12-31)","M ","N","-93.11782","45.971304"
"111197","Fabian","Levy","93212","(2011-09-26, 9999-12-31)","M ","Y","-119.5277","36.042151"
"65050","Lionel","Montoya","17256","(2015-06-16, 9999-12-31)","M ","N","-77.677308","39.782914"
"88929","Olive","Beard","85034","(2014-12-19, 9999-12-31)","F ","Y","-112.014097","33.42958"
"80140","Aubrey","Castillo","42713","(2013-03-03, 9999-12-31)","M ","N","-85.883731","37.38313"
"19576","Lina","Cowan","71837","(2015-05-18, 9999-12-31)","F ","N","-93.845308","33.254898"
"207508","Chet","Nelson","28351","(2015-06-21, 9999-12-31)","M ","Y","-79.563854","34.84827"
"191480","Deanne","Salazar","32344","(2015-12-18, 9999-12-31)","F ","Y","-83.962287","30.526078"
"235812","Gaylord","Beltran","35645","(2014-03-06, 9999-12-31)","M ","Y","-87.500965","34.903048"
"76653","Leonor","Myers","23130","(2010-04-25, 9999-12-31)","F ","N","-76.259439","37.387286"
"115418","Christian","Cannon","05655","(2014-07-14, 9999-12-31)","M ","Y","-72.570417","44.624262"
"93823","Brady","Martinez","67428","(2014-05-04, 9999-12-31)","M ","Y","-97.417862","38.369631"
"14274","Ola","Soto","74119","(2014-10-31, 9999-12-31)","F ","N","-95.989166","36.142076"
"6831","Lucy","King","87514","(2010-04-27, 9999-12-31)","F ","N","-105.5252","36.541237"
"91070","Mauricio","Briggs","27614","(2014-02-08, 9999-12-31)","M ","Y","-78.619492","35.945927"
"120047","Ezra","Macdonald","20716","(2012-04-04, 9999-12-31)","M ","Y","-76.715028","38.926428"
"116825","Claude","Guerrero","68742","(2015-12-04, 9999-12-31)","M ","Y","-98.529412","42.352415"
"44189","Hobert","Nash","62083","(2015-03-22, 9999-12-31)","M ","N","-89.201432","39.354451"
"150696","Tyrone","Daniels","13809","(2011-10-27, 9999-12-31)","M ","Y","-75.395541","42.403814"
"132588","Emerson","Soto","50251","(2013-08-14, 9999-12-31)","M ","Y","-92.869363","41.56694"
"36338","Lanny","Moran","21538","(2014-01-13, 9999-12-31)","M ","N","-79.22429","39.409932"
"82016","Luther","Chang","23124","(2014-05-22, 9999-12-31)","M ","N","-77.043956","37.550924"
"239095","Karin","Baxter","61331","(2010-07-04, 9999-12-31)","F ","Y","-89.277542","41.747703"
"14743","Herman","Bolton","30032","(2012-09-12, 9999-12-31)","M ","N","-84.264463","33.740666"
"20106","Joel","Sawyer","76015","(2011-11-07, 9999-12-31)","M ","N","-97.133304","32.692186"
"97106","Leonardo","Parsons","67056","(2015-05-12, 9999-12-31)","M ","Y","-97.525412","38.021951"
"192010","Elijah","Yu","83841","(2014-07-10, 9999-12-31)","M ","Y","-116.751107","48.201518"
"55119","Lemuel","Andrade","53805","(2014-04-16, 9999-12-31)","M ","N","-90.686927","43.143298"
"102000","Denise","Vang","53047","(2010-07-23, 9999-12-31)","F ","Y","-88.63012","43.257123"
"122861","Ella","Velasquez","78410","(2014-07-30, 9999-12-31)","F ","Y","-97.596306","27.838247"
"74165","Benjamin","Salazar","64428","(2014-09-18, 9999-12-31)","M ","N","-95.093894","40.43661"
"35869","Fannie","Torres","52721","(2015-08-31, 9999-12-31)","F ","N","-90.959696","41.756923"
"192479","Anna","Decker","82061","(2012-09-05, 9999-12-31)","F ","Y","-105.161358","41.445182"
"137482","Therese","Frye","05748","(2014-09-22, 9999-12-31)","F ","Y","-72.918146","43.905325"
"69536","Dalton","Key","72441","(2013-10-28, 9999-12-31)","M ","Y","-90.385317","36.436953"
"90397","Burl","Mcmillan","62044","(2013-11-05, 9999-12-31)","M ","Y","-90.22155","39.363052"
"114541","Richard","Salazar","73058","(2013-09-13, 9999-12-31)","M ","Y","-97.220104","35.815567"
"161157","Rochelle","Summers","63473","(2011-11-12, 9999-12-31)","F ","Y","-91.783858","40.246853"
"27549","Molly","Miles","18445","(2010-12-11, 9999-12-31)","F ","N","-75.359362","41.297908"
"130304","Fabian","Swanson","77382","(2010-01-21, 9999-12-31)","M ","Y","-95.54819","30.194968"
"87175","Priscilla","Mccormick","35572","(2014-01-03, 9999-12-31)","F ","Y","-87.28258","34.201272"
"172760","Lou","Reed","21144","(2010-12-06, 9999-12-31)","M ","Y","-76.677313","39.120914"
"109912","Rubin","Greene","52570","(2015-10-05, 9999-12-31)","M ","Y","-92.146225","40.687411"
"105956","Debbie","Moran","12749","(2012-12-26, 9999-12-31)","F ","Y","-74.841166","41.695254"
"40559","Shelton","Silva","77978","(2011-12-09, 9999-12-31)","M ","N","-96.570992","28.667111"
"160953","Bethany","Velazquez","72833","(2014-01-25, 9999-12-31)","F ","Y","-93.472595","35.021703"
"189726","Ezra","Graham","74640","(2012-12-10, 9999-12-31)","M ","Y","-97.651364","36.551638"
"32443","Conrad","Kent","11719","(2012-07-19, 9999-12-31)","M ","N","-72.912104","40.782153"
"190195","Lynnette","Blackwell","43754","(2013-02-15, 9999-12-31)","F ","Y","-81.23392","39.760807"
"46595","Foster","Morse","67330","(2012-06-05, 9999-12-31)","M ","N","-95.309148","37.158055"
"250290","Vicente","Dickerson","24077","(2010-02-10, 9999-12-31)","M ","Y","-79.904022","37.366211"
"153775","Geneva","Dillon","12304","(2010-10-06, 9999-12-31)","F ","Y","-73.898297","42.77469"
"23185","Essie","Reid","98527","(2014-10-25, 9999-12-31)","F ","N","-123.924687","46.585525"
"2059","Rubin","Lowe","13783","(2012-11-29, 9999-12-31)","M ","N","-75.266006","41.993662"
"66110","Zachery","Hinton","73632","(2011-01-23, 9999-12-31)","M ","Y","-98.932044","35.26956"
"41497","Stacey","Stevenson","75423","(2013-11-06, 9999-12-31)","F ","N","-96.200388","33.28439"
"40824","Dana","Yu","62972","(2012-12-09, 9999-12-31)","F ","N","-88.791037","37.542288"
"61685","Antione","Horton","19067","(2010-01-08, 9999-12-31)","M ","N","-74.81844","40.206218"
"159138","Lanny","Harris","02494","(2012-11-20, 9999-12-31)","M ","Y","-71.232519","42.29949"
"126878","Bethany","Mays","13063","(2013-06-01, 9999-12-31)","F ","Y","-75.977961","42.847849"
"43842","Melisa","Rodgers","78160","(2014-06-03, 9999-12-31)","F ","N","-97.927233","29.252842"
"214808","Brittney","Barr","30464","(2011-06-23, 9999-12-31)","F ","Y","-82.224961","32.437229"
"176777","Annette","King","53533","(2011-03-03, 9999-12-31)","F ","Y","-90.162179","42.996737"
"96963","Thurman","Ford","21722","(2010-12-15, 9999-12-31)","M ","Y","-77.919911","39.66205"
"154509","Tyson","Bradshaw","16347","(2014-07-12, 9999-12-31)","M ","Y","-79.069365","41.659517"
"140357","Anna","Mcfarland","52656","(2015-04-21, 9999-12-31)","F ","Y","-91.4555","40.739814"
"33646","Tyrone","Cowan","46737","(2011-12-07, 9999-12-31)","M ","N","-84.92983","41.719282"
"44780","Tameka","Pearson","01107","(2011-04-26, 9999-12-31)","F ","N","-72.607068","42.12106"
"76102","Harriett","Ware","15684","(2011-07-12, 9999-12-31)","F ","N","-79.520663","40.460696"
"1100083","Linda","Moats","21043","(2011-01-01, 9999-12-31)","F ","N","-76.801491","39.255836"
"76571","Deana","Rasmussen","83548","(2014-10-16, 9999-12-31)","F ","N","-116.505033","46.360925"
"98370","Micheal","Payne","15057","(2011-06-25, 9999-12-31)","M ","Y","-80.243904","40.358656"
"121576","Errol","King","19710","(2014-09-07, 9999-12-31)","M ","Y","-75.588092","39.795167"
"225738","Hong","Mcclain","05602","(2012-12-26, 9999-12-31)","M ","Y","-72.609475","44.274953"
"212055","Thurman","Mccann","47462","(2015-06-12, 9999-12-31)","M ","Y","-86.647567","38.958323"
"172617","Bernadine","Silva","12997","(2012-07-30, 9999-12-31)","F ","Y","-73.892043","44.372798"
"4669","Tammy","Mcdowell","81211","(2012-05-16, 9999-12-31)","F ","N","-106.381258","38.973327"
"192336","Conrad","Yates","73109","(2012-05-02, 9999-12-31)","M ","Y","-97.524548","35.433138"
"177042","Lynnette","Ross","94925","(2010-07-29, 9999-12-31)","F ","Y","-122.507738","37.931846"
"218560","Ashlee","Ford","55354","(2014-08-18, 9999-12-31)","F ","Y","-94.061414","44.880438"
"19759","Tyrone","Collins","69120","(2012-04-22, 9999-12-31)","M ","N","-100.218112","41.397011"
"84014","Erwin","Boyd","62478","(2013-01-20, 9999-12-31)","M ","Y","-87.743616","39.179972"
"191663","Winifred","Lawson","36038","(2015-09-03, 9999-12-31)","F ","Y","-86.491253","31.435078"
"191194","Bettie","Park","52656","(2015-12-03, 9999-12-31)","F ","Y","-91.4555","40.739814"
"90519","Benjamin","Zuniga","95228","(2013-05-18, 9999-12-31)","M ","Y","-120.688307","37.90723"
"210913","Kathie","Simmons","59064","(2010-06-05, 9999-12-31)","F ","Y","-107.97643","45.816613"
"200248","Hai","Norman","57247","(2011-05-21, 9999-12-31)","M ","Y","-97.437814","45.717409"
"115805","Fabian","Tran","71449","(2012-10-29, 9999-12-31)","M ","Y","-93.511491","31.545133"
"85421","Dwight","Sullivan","08346","(2015-10-21, 9999-12-31)","M ","Y","-74.84633","39.566059"
"251289","Angelique","Escobar","43713","(2013-09-28, 9999-12-31)","F ","Y","-81.17459","39.987894"
"18617","Rosalyn","Frazier","60423","(2013-03-07, 9999-12-31)","F ","N","-87.832419","41.477349"
"184016","Lynnette","Mcgee","31649","(2011-08-23, 9999-12-31)","F ","Y","-82.995472","30.963885"
"165704","Ella","Aguilar","57523","(2012-11-19, 9999-12-31)","F ","Y","-99.213765","43.233401"
"9563","Rudy","Kirby","57248","(2013-02-25, 9999-12-31)","M ","N","-97.187953","44.583539"
"115132","Darell","Carson","07626","(2010-09-23, 9999-12-31)","M ","Y","-73.958581","40.939786"
"23715","Ian","Walsh","21032","(2015-01-26, 9999-12-31)","M ","N","-76.604145","39.028343"
"23511","Deangelo","White","66203","(2011-05-03, 9999-12-31)","M ","N","-94.705787","39.020331"
"71738","Thurman","Chambers","32266","(2014-04-20, 9999-12-31)","M ","Y","-81.409066","30.317386"
"217683","Ollie","Sellers","10528","(2013-06-16, 9999-12-31)","M ","Y","-73.724925","40.975049"
"198637","Joanna","Miller","79051","(2011-10-26, 9999-12-31)","F ","Y","-102.259356","36.483086"
"226268","Leonel","Anthony","38236","(2012-05-21, 9999-12-31)","M ","Y","-88.268062","36.168109"
"111645","Hans","Pineda","23310","(2011-09-14, 9999-12-31)","M ","Y","-75.963657","37.258993"
"85686","Joe","Kaiser","66963","(2010-09-10, 9999-12-31)","M ","Y","-97.99874","39.636304"
"84748","Aisha","Mcintyre","24924","(2010-01-24, 9999-12-31)","F ","Y","-80.16489","38.201314"
"198433","Frederick","Frye","69166","(2013-02-20, 9999-12-31)","M ","Y","-100.608571","42.028186"
"233915","Diego","Hooper","45812","(2011-04-27, 9999-12-31)","M ","Y","-83.813861","40.681854"
"243907","Tia","Hardy","70070","(2012-10-17, 9999-12-31)","F ","Y","-90.310627","29.829842"
"77101","Dean","Bishop","38569","(2012-11-02, 9999-12-31)","M ","N","-85.863126","36.092342"
"216072","Theresa","Hammond","48915","(2013-03-20, 9999-12-31)","F ","Y","-84.570937","42.737952"
"210036","Harland","Mccann","30038","(2014-08-31, 9999-12-31)","M ","Y","-84.139855","33.66646"
"81057","Zachery","Moran","68514","(2011-10-08, 9999-12-31)","M ","N","-96.653112","40.921979"
"249474","Deidre","Ochoa","72068","(2013-12-23, 9999-12-31)","F ","Y","-91.710763","35.190308"
"190786","Bradford","Beard","49667","(2014-08-24, 9999-12-31)","M ","Y","-84.914644","44.363328"
"49735","Mia","Blackburn","63673","(2011-04-20, 9999-12-31)","F ","N","-89.991058","37.841831"
"106812","Lenore","Burnett","37756","(2011-10-03, 9999-12-31)","F ","Y","-84.419801","36.304565"
"69454","Bud","Miller","62442","(2014-01-27, 9999-12-31)","M ","Y","-87.853807","39.303946"
"59727","Danny","Rios","92274","(2010-10-02, 9999-12-31)","M ","N","-116.084589","33.460512"
"2181","Angelique","Wade","06242","(2012-05-26, 9999-12-31)","F ","N","-72.093305","41.895596"
"6606","Earnest","Castaneda","74084","(2015-05-15, 9999-12-31)","M ","N","-96.361531","36.528846"
"75490","Felicia","Fernandez","47032","(2015-12-29, 9999-12-31)","F ","N","-85.043662","39.086912"
"189644","Russell","Combs","93612","(2014-01-13, 9999-12-31)","M ","Y","-119.710596","36.814864"
"177103","Sydney","Lyons","71639","(2013-08-26, 9999-12-31)","M ","Y","-91.520374","33.901476"
"119353","Titus","Rodgers","55397","(2015-05-17, 9999-12-31)","M ","Y","-93.937971","44.823812"
"28405","Deann","Ross","97071","(2012-06-11, 9999-12-31)","F ","N","-122.826487","45.134191"
"50000","Leonardo","Hendrix","32129","(2012-08-23, 9999-12-31)","M ","N","-81.023957","29.136974"
"130018","Willie","Haynes","32133","(2011-12-11, 9999-12-31)","F ","Y","-81.909262","29.020177"
"171332","Shelby","Pineda","26438","(2015-07-03, 9999-12-31)","M ","Y","-80.319108","39.346605"
"158322","Gail","Porter","85349","(2013-02-17, 9999-12-31)","F ","Y","-114.743975","32.508824"
"214726","Jerold","Goodman","71341","(2012-07-23, 9999-12-31)","M ","Y","-92.168056","31.06543"
"217479","Vivian","Perry","64784","(2014-07-04, 9999-12-31)","F ","Y","-94.234169","37.664651"
"59992","Heather","Case","19966","(2010-09-20, 9999-12-31)","F ","N","-75.277196","38.579422"
"103121","Roxie","Summers","19454","(2014-01-05, 9999-12-31)","F ","Y","-75.243047","40.223335"
"172739","Kelvin","Moran","17520","(2013-02-09, 9999-12-31)","M ","Y","-76.349193","40.097518"
"33299","Warner","Burns","62693","(2011-05-16, 9999-12-31)","M ","N","-89.516172","39.958048"
"192458","Cecilia","Miller","43128","(2014-11-10, 9999-12-31)","F ","Y","-83.594024","39.659722"
"191051","Angie","Waller","95005","(2013-07-16, 9999-12-31)","F ","Y","-122.091734","37.098768"
"63010","Anna","Waller","35057","(2012-12-09, 9999-12-31)","F ","N","-86.934257","34.180462"
"30750","Mallory","Wiggins","53810","(2011-12-11, 9999-12-31)","F ","N","-91.001945","42.820785"
"74613","William","Olson","28635","(2015-08-31, 9999-12-31)","M ","N","-81.126045","36.305463"
"118211","Lemuel","Erickson","48323","(2011-09-20, 9999-12-31)","M ","Y","-83.377909","42.570804"
"97350","Agnes","Stokes","99627","(2012-02-17, 9999-12-31)","F ","Y","-154.735702","63.454351"
"70657","Dollie","Myers","11693","(2013-08-02, 9999-12-31)","F ","Y","-73.809749","40.590692"
"117069","Vivian","Glover","47244","(2015-01-22, 9999-12-31)","F ","Y","-85.70154","39.219042"
"91314","Leonor","Hardin","47034","(2014-10-22, 9999-12-31)","F ","Y","-85.327471","39.203982"
